estandar	dialectal	whisper
Sí	Sí	si
~,	~,	yo
la	la	tenía
mula	mula	tíazas
si	si	las
yo	yo	mureras,
tenía	tenía	tenía
tierras	tierras	una
~,	~,	cuadra
la	la	en
mula	mula	tu
era	era	casa,
mía	mía	una
~,	~,	cosa
[HS:E2	[HS:E2	como
		[Asent]			[Asent]	esto,
~.	~.	tenía
		]			]	unos
tenías	tenías	pisebres,
una	una	a
cuadra	cuadra	luego
en	en	el
tu	tu
casa	casa
~,	~,
entonces	entonces
~,	~,
una	una
cosa	cosa
como	como
esto	esto
~,	~,
tenías	tenías
unos	unos
pesebres	pesebres
en	en
la	la
pared	pared
~,	~,
¿~	¿~
sabe	sabe
lo	lo
que	que
son	son
pesebres	pesebres
~?	~?
