estandar	dialectal	whisper
[A-Inn]	[A-Inn]	que
~.	~.	va,
Está	Está	el...
la	la	¿Tená
casa	casa	caso?
un	un	Yo
poquito	poquito	tomo
oscura	oscura	una
~.	~.	forma,
[HS:E2	[HS:E2	no.
		¿~			¿~	No,
		ella
Anonimizado	Anonimizado	no,
		ella
~,	~,	sugo.
no	no	Cómo
se	se	jamás
toma	toma	que
una	una	soy
cerveza	cerveza	guayetita.
~?	~?	multiplayeramon
¿~	¿~	su
No	No
~?	~?
		]			]
No	No
~,	~,
ella	ella
tomar	tomar
no	no
toma	toma
~.	~.
[HS:E2	[HS:E2
		[RISAS]			[RISAS]
		]			]
Ella	Ella
su	su
jugo	jugo
~…	~…
Cojan	Cojan
queso	queso
y	y
galletitas	galletitas
~,	~,
anda	anda
~,	~,
que	que
si	si
no	no
les	les
pongo	pongo
otro	otro
poquito	poquito
~.	~.
