estandar	dialectal	whisper
El	El	Es
ternero	ternero	ternero.
~.	~.	Nos
¿~	¿~	hemos
No	No	visto
ha	ha	nunca
visto	visto	apareciera
nunca	nunca	la
parir	parir	camina.
a	a	Esto
una	una	es
vaca	vaca	ayer
~?	~?	para
[HS:E2	[HS:E2	ir
		No			No	una.
~…	~…	Nuestro
		]			]	habrásmuventa
Mira	Mira	thicana
~,	~,	enabling
ahora	ahora
estos	estos
~,	~,
ayer	ayer
parió	parió
una	una
~.	~.
Pues	Pues
ahí	ahí
~,	~,
no	no
~|	~|
¿~	¿~
por	por
dónde	dónde
han	han
venido	venido
~,	~,
por	por
ahí	ahí
~,	~,
por	por
ahí	ahí
abajo	abajo
~,	~,
por	por
Estella	Estella
~?	~?
