estandar	dialectal	whisper
Ah	Ah	¿Qué
~,	~,	estamos
¿~	¿~	dando
que	que	al
estás	estás	baño?
buscando	buscando	No
el	el	sé
baño	baño	si
~?	~?	podrá
No	No	entrar,
sé	sé	porque
si	si	lo
podrás	podrás	tengo
entrar	entrar	ahí
porque	porque	lleno
lo	lo	de
tengo	tengo	hasta
lleno	lleno	la
de	de	baño.
hasta	hasta	No
~,	~,	pasa
hasta	hasta	nada
ahí	ahí	desde
 	 	si
 	 	mejor
 	 	si
 	 	quitamos
 	 	la
 	 	tele
 	 	si
 	 	no
 	 	lo
 	 	importa.
 	 	Tengo
 	 	una
 	 	lábana.
 	 	Para
 	 	que
 	 	las
 	 	cuchemos
 	 	mejor.
 	 	Y
 	 	ahora
 	 	usted
 	 	que
 	 	piensa
 	 	que
 	 	el
 	 	queso
 	 	está
 	 	igual
 	 	con
 	 	el
 	 	coajo
 	 	natural
 	 	o
 	 	con
 	 	los
 	 	polvos.
