estandar	dialectal	whisper
De	De	por
~…	~…	200,
doscientos	doscientos	300
y	y	litros
trescientos	trescientos	más
litros	litros	de
~.	~.	300
Más	Más	litros.
~,	~,	La
más	más	llena
~,	~,	va
es	es	aquí
más	más	en
de	de	la
trescientos	trescientos	puerta
litros	litros	de
~.	~.	la
La	La	jefe
traía	traía	y
~,	~,	para
la	la	la
llenaba	llenaba	jefe
aquí	aquí	rodando,
en	en	rodando,
la	la	rodando,
puerta	puerta	rodando,
el	el	rodando
aljibe	aljibe	y
y	y	llegaba
después	después	al
la	la	tronco
traía	traía	del
rodando	rodando	narajero
~,	~,	y
rodando	rodando	la
~,	~,	corta,
rodando	rodando	la
~,	~,	tapa,
rodando	rodando	hoy
~,	~,	ahí
rodando	rodando	se
y	y	echaba
llegaba	llegaba	y
al	al	pues
tronco	tronco	se
del	del	va
naranjero	naranjero	a
y	y	llevar
la	la	al
esvolca-	esvolca-	cubo
~,	~,	de
la	la	por
destapaba	estapaba	la
y	y	jefe
allí	allí	de
se	se	la
echaba	echaba	jefe.
~.	~.	Queden,
Y	Y	de
después	después	eseover,
se	se	escuplay,actson.
la	la	proteube,
llevaba	llevaba	se
al	al	desengine
cogote	cogote	62A,
pa	pa	ya
volverla	volvela	nadie
a	a	le
llenar	llená	va
~.	~.	a
[HCruz:	[HCruz:
		¿~			¿~
Qué	Qué
~?	~?
¿~	¿~
Qué	Qué
quieres	quieres
~,	~,
	
Anonimizado	Anonimizado
	
~?	~?
¿~	¿~
Cenar	Cenar
~?	~?
Venga	Venga
~,	~,
sí	sí
~.	~.
		]			]
[V-Ljn]	[V-Ljn]
Pues	Pues
dices	dices
tú	tú
~.	~.
Pues	Pues
pueo	pueo
~,	~,
pueo	pueo
con	con
	
Anonimizado	Anonimizado
	
~,	~,
que	que
vale	vale
~,	~,
que	que
tiene	tiene
och-	och-
~,	~,
pesa	pesa
lo	lo
menos	menos
ochenta	ochenta
o	o
noventa	noventa
kilos	kilos
~.	~.
[HS:E3	[HS:E3
		Madre			Madre
mía	mía
~.	~.
		]			]
[HS:E2	[HS:E2
		Sí			Sí
~,	~,
sí	sí
~.	~.
		]			]
¿~	¿~
Eh	Eh
~?	~?
	
Anonimizado	Anonimizado
	
también	también
pesa	pesa
lo	lo
de	de
él	él
~.	~.
[R-Cas]	[R-Cas]
[V-Mrm]	[V-Mrm]
No	No
quieres	quieres
~,	~,
llévate	llévate
la	la
piedra	piedra
~.	~.
