estandar	dialectal	whisper
Joder	Joer	Yo
~,	~,	fluento
ya	ya	eso
he	he	y
salío	salío	vosotros
esta	esta	y
mañana	mañana	yo読!
por	por	Sí,
ahí	ahí	me
a	a	employéaround.
los	los	Hoy
corrillos	corrillos	cuando
[A-Inn]	[A-Inn]	lluezes
[Rndo:	[Rndo:	es
		Y			Y	que
he	he	tendréắm
estao	estao	que
toa	toa	resolving
la	la	el
mañana	mañana	gameplay
		]			]	de
~.	~.	R�
[RISAS]	[RISAS]	republicans.
[R-Ppl]	[R-Ppl]	Espiendo
Que	Que	que
cuando	cuando	era
yo	yo	más
no	no	izel,
sé	sé	Wash
si	si	Friday
es	es
que	que
tendré	tendré
una	una
enfermedad	enfermedá
de	de
esa	esa
que	que
he	he
engordao	engordao
tanto	tanto
~.	~.
