estandar	dialectal	whisper
[R-Ind]	[R-Ind]	porque
Sí	Sí	no
~,	~,	entravan
porque	porque	acá
no	no	los
entraban	entraban	novios
en	an	no
casa	ca	entradas,
los	los	no
novios	novios	vivan
~,	~,	para
no	no	allí
entraban	entraban	y
~,	~,	luego
no	no	ellos
iban	iban	venían
por	por	a
allí	allí	la
y	y	casa
luego	luego	de
ellos	ellos	la
venían	venían	novia,
a	a	pero
la	la	escuchaba
casa	casa	por
de	de	la
la	la	nocha
novia	novia	un
pero	pero	ratito,
~,	~,	no
escucha	escucha	te
~,	~,	querás
por	por	que
la	la	iba
noche	noche	a
un	un	estar
ratito	ratito	ahí
~,	~,	por
¿~	¿~	día
eh	eh	virgan
~?	~?	a
No	No	ver
te	te
creas	creas
que	que
iban	iban
a	a
estar	estar
ahí	ahí
to	to
el	el
día	día
berre	berre
que	que
berre	berre
~,	~,
nada	nada
~…	~…
