estandar	dialectal	whisper
Sí	Sí	El
~,	~,	primer
pero	pero	pese
solo	solo	el
que	que	gone
no	no	casi
~…	~…	sexy.
~,	~,	El
¿~	¿~	abre,
se	se	tiene
disfrazaban	disfrazaban	una
o	o	combinación
se	se	de
ponían	ponían	un
algo	algo	dragging,
 	 	antes
 	 	de
 	 	que
 	 	sí
 	 	el
 	 	astronomyera.
 	 	¿O
 	 	si
 	 	no
 	 	traigo
 	 	nuestro
 	 	caso?
 	 	Esto
 	 	también
 	 	es
 	 	supporter,
 	 	que
 	 	puede
 	 	ser
 	 	lo
 	 	oficial
 	 	de
 	 	las
 	 	tres
 	 	que
 	 	river
 	 	con
 	 	eliembre
 	 	de
 	 	mi
 	 	vida.
 	 	Pero
 	 	sí
 	 	podemos
 	 	salir
 	 	a
 	 	los
 	 	comparingis
