estandar	dialectal	whisper
Pues	Pues	Pues
a	a	a
mí	mí	mí
no	no	no
me	me	me
parecían	parecían	parecía
tan	tan	tan
mal	mal	malas
las	las	nobias,
novias	novias	con
~.	~.	los
Con	Con	zapatos
los	los	un
zapatos	zapatos	poco
un	un	alto,
poco	poco	negro,
altos	altos	y
~,	~,	las
negros	negros	medias,
~…	~…	ya
y	y	nosotros
las	las	ya
medias	medias	había
~…	~…	medias
[V-Sml]	[V-Sml]	de
Ya	Ya	estas
nosotras	nosotras	que
~…	~…	decíamos,
~,	~,	al
ya	ya	principio
había	había	le
medias	medias	decíamos
de	de	medias
estas	estas	de
que	que	cristal.
decíamos	decíamos	Lán
~,	~,
al	al
principio	principio
les	les
decíamos	decíamos
medias	medias
de	de
cristal	cristal
~.	~.
[RISAS]	[RISAS]
¿~	¿~
L'habéis	L'habéis
oído	oído
eso	eso
~?	~?
