estandar	dialectal	whisper
Unos	Unos	unos
veintiún	ventiún	21
días	días	días
~,	~,	aproximadamente,
aproximadamente	aproximadamente	según
~,	~,	el
según	según	tiempo
el	el	ya
tiempo	tiempo	tengo
~,	~,	si
ya	ya	va
te	te	el
digo	digo	tiempo
~:	~:	seco,
si	si	como
va	va	es
el	el	normal
tiempo	tiempo	el
seco	seco	tiempobur
~,	~,
como	como
es	es
normal	normal
~,	~,
mejor	mejor
~.	~.
[HS:I3	[HS:I3
		[A-Nul]			[A-Nul]
~,	~,
se	se
secan	secan
~.	~.
		]			]
[HS:E1	[HS:E1
		[RISA]			[RISA]
		]			]
Si	Si
hay	hay
heladas	heladas
y	y
así	así
~,	~,
es	es
muy	muy
bueno	bueno
para	para
la	la
carne	carne
~.	~.
