estandar	dialectal	whisper
Guisantes	Guisantes	Pollo
~.	~.	mirar
¿~	¿~	el
No	No	potaje
son	son	y
~…	~…	lo
 	 	pongo
 	 	en
 	 	crudo,
 	 	sabe.
 	 	Lo
 	 	hecho
 	 	el
 	 	perdiante,
 	 	yo
 	 	se
 	 	ha
 	 	sechan
 	 	en
 	 	agua
 	 	y
 	 	luego
 	 	al
 	 	otro
 	 	día,
 	 	lo
 	 	pone
 	 	en
 	 	frío,
 	 	le
 	 	pon
 	 	esto,
 	 	los
 	 	alinito,
 	 	y
 	 	yo
 	 	luego
 	 	le
 	 	frío
 	 	un
 	 	agito,
 	 	un
 	 	poquito
 	 	de
 	 	recominio,
 	 	más
 	 	agito
 	 	y
 	 	una
 	 	rebanaita
 	 	de
 	 	pan,
 	 	pero
 	 	fritita,
 	 	todo,
 	 	y
 	 	es
 	 	solo
 	 	lo
 	 	bajo
 	 	y
 	 	se
 	 	lo
 	 	ya
 	 	se
 	 	pasa,
 	 	sabe,
 	 	se
 	 	va
 	 	a
 	 	ser
 	 	más
 	 	agito
 	 	en
 	 	el
 	 	mortero
 	 	y
 	 	están
 	 	muy
 	 	buenos
 	 	potajes,
 	 	chicharón,
 	 	los
 	 	platajes
 	 	y
 	 	cómo
 	 	lo
 	 	éste
 	 	ya,
 	 	los
 	 	glutillas
 	 	y
 	 	como
 	 	le
 	 	llames
 	 	ilus
 	 	swordamezantes.
