estandar	dialectal	whisper
Y	Y	y
ahora	ahora	ahora
venían	venían	venían
con	con	con
las	las	las�teas,
bestias	bestias	entonces
~.	~.	no
[R-Mcr]	[R-Mcr]	vienan,
Y	Y	me
entonces	entonces	he
no	no	carrillo
había	había	como
na	na	ahora,
~.	~.	y
Ni	Ni	venían
~…	~…	con
carrillos	carrillos	las�teas
como	como	y
ahora	ahora	las
ni	ni	cargaban
na	na	las
~.	~.	medían,
Y	Y	las
venían	venían	medían
con	con	y
las	las	según
bestias	bestias	las
y	y	zanegas
las	las	se
cargaban	cargaban	cogeran,
~,	~,	teníamos
las	las	un
~,	~,	peazo
las	las	para
medían	medían	los
~,	~,	fin
mos	mos	y
~,	~,	100
las	las	rajitas
medían	medían	y
y	y	estará
según	según	las
las	las
fanegas	fanegas
que	que
cogieran	cogieran
~,	~,
tenían	tenían
un	un
peazo	peazo
palo	palo
asín	asín
~,	~,
y	y
~,	~,
y	y
~…	~…
las	las
hacían	hacían
rajitas	rajitas
y	y
esas	esas
eran	eran
las	las
fanegas	fanegas
~.	~.
