estandar	dialectal	whisper
Aquí	Aquí	Enquilo
los	los	jamones
jamones	jamones	se
se	se	resportaban
recortaban	recortaban	porque
pos	pos	los
lo	lo	regalizaban,
que	que	no?
es	es	Porque
el	el	los
jamón	jamón	regalizaban,
~,	~,	el
¿~	¿~	regalitaban
no	no	y
~?	~?	luego
~,	~,	se
pues	pues	echaban
normal	normal	21
~.	~.	días,
Pues	Pues	21
~…	~…	días
se	se	en
recortaban	recortaban	seis.
~.	~.	Se
Y	Y	pareían
luego	luego	boca
se	se	abajo
echaba	echaba	y
veintiún	veintiún	se
días	días	echaban,
~,	~,	se
veintiún	veintiún	pareían
días	días	boca
en	en	abajo.
sal	sa	Y
~.	~.	luego
Se	Se	le
ponían	ponían	echaban
boca	boca	una
abajo	abajo	piedra,
y	y	también
~,	~,	le
y	y	jugó
se	se	el
echaba	echaba	agua,
sal	sa	el
~.	~.	lado
Se	Se	que
ponían	ponían	tuvieron
boca	boca	y
abajo	abajo	la
y	y	soltaron.
luego	luego	Y
le	le	a
echabas	echabas	los
una	una	21
piedra	piedra	días
pa	pa	los
que	que	aglaba.
luego	luego	Y
el	el	luego
agua	agua	le
~,	~,	estrujaba
el	el	lo
agua	agua	que
que	que	él
tuvieran	tuvieran	centro,
~,	~,	por
que	que	el
la	la	centro,
soltaran	soltaran	quizás
~.	~.	la
Y	Y	gota
a	a	sangre
los	los	que
veintiún	veintiún	quedaba
días	días	en
lo	lo	el
sacabas	sacabas	bien
y	y	armor
luego	luego	y
lo	lo	luego
estrujabas	estrujabas	Afterwards
lo	lo	los
que	que	aglaba
es	es	y
~,	~,	admiraba�
lo	lo	ante
que	que	su
es	es	parque
el	el	Beni
centro	centro	старó
~,	~,	ahiun
por	por	dejá
el	el	más
centro	centro	Ayano,
~…	~…	o
y	y	hasta
echaban	echaban	a
la	la	truehalo
gota	gota	unай,
sangre	sangre	o
que	que	dobla
quedaba	quedaba	en
~.	~.	el...
Empezabas	Empezabas	y
a	a	después
estrujarle	estrujarle	voy
y	y	a<|cy|><|translate|>
luego	luego	Oreja
ya	ya
lo	lo
salabas	salabas
y	y
ya	ya
los	los
colgabas	colgabas
al	al
techo	techo
pa	pa
que	que
se	se
secaran	secaran
~.	~.
Se	Se
secaran	secaran
y	y
ya	ya
~,	~,
pues	pues
ya	ya
hasta	hasta
otro	otro
año	año
[A-Inn]	[A-Inn]
tú	tú
quisieras	quisieras
comértelo	comértelo
~.	~.
Claro	Claro
~.	~.
