estandar	dialectal	whisper
Zagurdas	Zagurdas	Esta
~.	~.	burda,
Bueno	Bueno	bueno,
~,	~,	es
es	es	que
que	que	ahora
ahora	ahora	los
los	los	tenemos
tenemos	tenemos	en
en	en	un
un	un	estable
establo	establo	o
todos	todos	todos
así	así	así,
~,	~,	todos
todos	todos	juntos
juntos	juntos	en
en	en	una
una	una	nave.
nave	nave	Pero
~,	~,	que
pero	pero	antiguamente
es	es	eran
que	que	esas
antiguamente	antiguamente	burdas,
eran	eran	que
en	en	eran
zagurdas	zagurdas	apartes,
~,	~,	cada
que	que	uno
eran	eran	estaban
a	a	apartes,
partes	partes	salían
~,	~,	a
cada	cada	comer
uno	uno	hacia
estaban	estaban	una
a	a	pila
partes	partes	que
~.	~.	teníamos
Salían	Salían	fuera
a	a	y
comer	comer	luego
así	así	los
a	a	metíamos
una	una	y
pila	pila	los
que	que	cerravamos
teníamos	teníamos	con
fuera	fuera	su
~,	~,	puerta
y	y	citada
luego	luego	cada
los	los	uno
metíamos	metíamos	sol.
y	y	Ya
los	los	no,
cerrábamos	cerrábamos	ya
con	con	está
su	su	natilo,
puertecita	puertecita	choto,
~,	~,	atilo,
cada	cada	o
uno	uno	beja,
solo	solo	en
~.	~.	el
Ya	Ya	tablo
no	no	grande.
~,	~,	Ya
ya	ya	ven
están	están
a	a
estilo	estilo
~…	~…
chotos	chotos
~,	~,
a	a
estilo	estilo
~…	~…
ovejas	ovejas
~,	~,
en	en
establos	establos
grandes	grandes
~.	~.
