estandar	dialectal	whisper
Sí	Sí	Sí,
~,	~,	la
la	la	fiesta
~|	~|	sí,
bueno	bueno	la
~,	~,	fiesta
la	la	sí,
fiesta	fiesta	la
sí	sí	fiesta
~,	~,	sí,
la	la	la
fiesta	fiesta	fiesta
sí	sí	sí,
la	la	la
hacíamos	hacíamos	fiesta
aquí	aquí	sí,
~,	~,	la
en	en	plateta
la	la	que
plaza	plaza	ya
esta	esta	era
~,	~,	gran
hacíamos	hacíamos	bici,
una	una	traíamos
hoguera	hoguera	la
grandísima	grandísima	música
y	y	y
traíamos	traíamos	todos
la	la	los
~,	~,	quintos
la	la	y
~,	~,	los
traíamos	traíamos	tenemos,
[OTRAS-EM]	[OTRAS-EM]	tenemos
la	la	6,
música	música	6
y	y	quintos,
todos	todos	y
los	los	ahora
quintos	quintos	quedamos
y	y	3.
los	los	Sí,
teníamos	teníamos	sí,
~,	~,	sí,
tenemos	tenemos	sí,
seis	seis	sí,
~,	~,
seis	seis
me-	me-
~,	~,
seis	seis
~,	~,
seis	seis
quintos	quintos
~,	~,
[HS:E2	[HS:E2
		[Asent]			[Asent]
~.	~.
		]			]
sí	sí
~,	~,
y	y
ahora	ahora
quedamos	quedamos
tres	tres
~,	~,
[HS:E2	[HS:E2
		[Asent]			[Asent]
~.	~.
		]			]
sí	sí
quedamos	quedamos
tres	tres
~.	~.
