estandar	dialectal	whisper
sí	sí	Si
habrán	haberán	a
~,	~,	verán,
l'el'eucalipto	l'eucalipto'eucalipto	si
~,	~,	a
pa	pa	verán
cuando	cuando	a
tú	tú	lo
te	te	calito,
estás	estás	para
resfriada	resfriada	cuando
ponerle	ponerle	tú
un	un	estás
caldero	caldero	refieada,
de	de	ponerse
agua	agua	un
hirviendo	hirviendo	jardero
delante	delante	de
y	y	agua
coger	cogé	y
una	una	elbiendo
toalla	toalla	adelante,
así	así	pues
y	y	uno
coger	cogé	de
el	el	todas
vapor	vapó	ellas
~.	~.	y
Todo	To	coge
eso	eso	el
es	es	papo,
bueno	bueno	pues
~.	~.	son
Lo	Lo	bueno
que	que	lo
pasa	pasa	que
es	es	pasé
eso	eso	a
~,	~,	ese
que	que	tan
hoy	hoy	que
~,	~,	hoy
como	como	como
hay	hay	hoy
medicina	medicina	medicina
~,	~,	con
pues	pues	una
nadie	nadie	deas
hace	hace	cenada,
nada	nada	una
~.	~.	deas
Nadie	Nadie
hace	hace
nada	nada
~.	~.
