estandar	dialectal	whisper
Sí	Sí	Sí,
~,	~,	sí,
sí	sí	es
~,	~,	un
¿~	¿~	guácil
eh	eh	así.
~?	~?	Para
Lo	Lo	sí,
hacen	hacen	ahí
así	así	sí,
~.	~.	como
Ant-	Ant-	es,
~,	~,	a
si	si	los
hay	hay	cinco...
cinco	cinco	A
bares	bares	los
~,	~,	unos...
a	a	Debe
los	los	ver
cinco	cinco	un
~…	~…	poco
A	A	a
~…	~…	otros...
unos	unos	Como
beben	beben	era
un	un	otros...
poco	poco	Y
~,	~,	le
a	a	hacen
otros	otros	al
comen	comen	patrón,
~,	~,	como
a	a	era
otros	otros	militar,
~…	~…	ser
Y	Y	sencilla.
le	le	Pues,
hacen	hacen	suber
al	al	a
patrón	patrón	las
~,	~,	mitad,
como	como	le
era	era	hacen
militar	militar	la
~,	~,	misa,
se	se	y
~,	~,	cuentes
se	se	de
lo	lo	hecha
hacían	hacían	de
~…	~…	tracas.
Pues	Pues	Y
suben	suben	siempre
a	a	su
la	la	rico.
ermita	ermita	Aquí
~,	~,	siempre
le	le	está
hacen	hacen	vosmé
la	la	de
misa	misa
y	y
~…	~…
cohetes	cohetes
le	le
echan	echan
y	y
tracas	tracas
~…	~…
~¡~	~¡~
Y	Y
siempre	siempre
es	es
domingo	domingo
~!	~!
[RISAS]	[RISAS]
Aquí	Aquí
siempre	siempre
estamos	estamos
de	de
~…	~…
~,	~,
de	de
fiesta	fiesta
~.	~.
