estandar	dialectal	whisper
|T10|	|T10|	Y
[Asent]	[Asent]	vamos
~.	~.	a
Y	Y	ver.
~…	~…	Ha
~,	~,	dicho
en	en	entonces
~…	~…	lo
~,	~,	que
vamos	vamos	usted,
a	a	que
ver	ver	le
~.	~.	quería
Ha	Ha	meter
dicho	dicho	al
entonces	entonces	seminario.
usted	usted	Aquí
que	que	la
le	le	relación
querían	querían	con
meter	meter	los
al	al	curas
seminario	seminario	como
~.	~.
[HS:I1	[HS:I1
		Seminario			Seminario
~.	~.
		]			]
¿~	¿~
Aquí	Aquí
la	la
relación	relación
con	con
los	los
curas	curas
cómo	cómo
era	era
~?	~?
