estandar	dialectal	whisper
[A-Inn]	[A-Inn]	Con
cinco	cinco	5
kilómetros	kilómetros	metros,
~,	~,	5
[HS:I1	[HS:I1	metros,
		Sí			Sí	5
~,	~,	metros,
sí	sí	5
~,	~,	metros.
una	una	Sí,
cosa	cosa	sí,
así	así	una
~.	~.	cosa,
[A-Inn]	[A-Inn]	6
		]			]	metros,
cinco	cinco	6
o	o	metros.
seis	seis	Bueno,
~.	~.	tú,
[A-Inn]	[A-Inn]	otros
Bueno	Bueno	tens
~,	~,	de
tú	tú	9,
~.	~.	otros
Otros	Otros	5,
tenían	tenían	porque
nueve	nueve	era
~,	~,	todo
otros	otros	mundo
cinco	cinco	ruso.
~…	~…	El
~,	~,	que
porque	porque	entre
era	era	5
to'l	to'l	y
mundo	mundo	7
lo	lo	km,
mismo	mismo	que
~.	~.	no
[HS:I3	[HS:I3	me
		[A-Inn]			[A-Inn]	te
		]			]	voy
Entre	Entre	a
cinco	cinco	dar
y	y	las
siete	siete	otras
kilómetros	kilómetros	aquí
una	una	después,
aldea	aldea
de	de
la	la
otra	otra
~,	~,
de	de
aquí	aquí
del	del
pueblo	pueblo
~.	~.
