estandar	dialectal	whisper
Andando	Andando	Y
a	a	ahora,
Huesca	Huesca	¿qué
íbamos	íbamos	pasa
solo	solo	en
pa	pa	Antonio?
san	san	Pues
Antonio	Antonio	yo
~,	~,	ya
¿~	¿~	no
eh	eh	me
~?	~?	voy
~,	~,	a
[HS:E1	[HS:E1	preguntar.
		Ah			Ah	Pero
~,	~,	yo
bueno	bueno	ya
~.	~.	no
		]			]	me
eso	eso	voy
ya	ya	a
como	como	preguntar.
una	una	Y
promesa	promesa	ahora
~.	~.	no.
[V-Sml]	[V-Sml]	Entonces,
No	No	como
~…	~…	se
¿~	¿~	llama
Sabes	Sabes	el
cómo	cómo	carro,
se	se	pero
iba	iba	el
~?	~?	carro.
En	En	Pero
carros	carros	yo
~.	~.	me
[HS:E1	[HS:E1	gusta
		Como			Como	que
una	una	se
promesa	promesa	iba
~.	~.	a
		]			]	comprar.
Era	Era	Por
en	en	ejemplo,
carros	carros	me
~.	~.	van
Pa	Pa	a
ir	ir	venir
a	a	a
Huesca	Huesca	ver
~,	~,	que
que	que	se
~…	~…	servo
se	se	a
iba	iba	los
a	a	pequeños.
comprar	comprar	Entonces,
o	o	ya,
~,	~,	¿cuál
o	o	es
por	por	ventillán?
ejemplo	ejemplo	Pues,
iban	iban	¿y
a	a	van
vender	vender	a
cerdetes	cerdetes	buscar
~,	~,	rostros?
cerdos	cerdos	Sí,
pequeños	pequeños	pero
~,	~,	me
entonces	entonces	encanta
~,	~,	una
había	había	más
~…	~…	edad
En	En	y
~…	~…	so.
Huesca	Huesca	El
los	los	niño
vendían	vendían	que
~,	~,	era
pues	pues	lo
iban	iban	que
con	con	dice
carros	carros	eso,
~,	~,	pues,
[HS:E1	[HS:E1	si
		Carros			Carros	estoy
~.	~.	en
		]			]	el
y	y	rostro,
caballerías	caballerías	y
~,	~,	ya
pero	pero	no
~…	~…	lo
andando	andando	entendemos.
no	no	Y
~,	~,	vamos.
na	na	Otros
más	más	no
era	era	lo
eso	eso	crecían.
~.	~.	Y
[HS:E1	[HS:E1	a
		Ah			Ah	los
~…	~…	dolores
		]			]	que
Pa	Pa	han
san	san	plorité,
Antonio	Antonio	ya
~,	~,	la
que	que	gente
era	era	acordó
lo	lo	los
otro	otro	dolores,
que	que	pues,
dices	dices	¿tame?
~:	~:	Y
«~	«~	sí,
Oy	Oy	ya,
~,	~,	por
pues	pues	el
si	si	día
estoy	estoy	es
bien	bien	que
y	y	lo
eso	eso	vieron.
~,	~,	Pues
iré	iré	yo,
a	a	si
san	san	no,
Antonio	Antonio	me
andando	andando	voy.
~»	~»	Yo
~.	~.	voy
Íbamos	Íbamos	a
~.	~.
Otros	Otros
~,	~,
claro	claro
~,	~,
lo	lo
ofrecían	ofrecían
~,	~,
[HS:E1	[HS:E1
		Claro			Claro
~.	~.
		]			]
y	y
a	a
los	los
Dolores	Dolores
~,	~,
que	que
era	era
a	a
Monflorite	Monflorite
~,	~,
que	que
era	era
la	la
Virgen_de_los_Dolores	Virgen_de_los_Dolores
~,	~,
pues	pues
también	también
se	se
iba	iba
~,	~,
pero	pero
~…	~…
porque	porque
decías	decías
~:	~:
«~	«~
Quiero	Quiero
ir	ir
~»	~»
~.	~.
[HS:E1	[HS:E1
		Claro			Claro
~.	~.
		]			]
Pero	Pero
si	si
no	no
~,	~,
no	no
~…	~…
Luego	Luego
cinco	cinco
horas	horas
todos	tos
los	los
días	días
~…	~…
[RISA]	[RISA]
[HS:E1	[HS:E1
		Es			Es
que	que
~…	~…
~,	~,
		]			]
