estandar	dialectal	whisper
Bueno	Bueno	En
~,	~,	tu
antiguamente	antiguamente	bueno,
se	se	antiguamente
~…	~…	se
~,	~,	corría
		la
se	se	rosca
corría	corría	que
la	la	llamamos,
rosca	rosca	una
~,	~,	rosca
que	que	que
llamábamos	llamábamos	hacía
~,	~,	el
una	una	paladero
rosca	rosca	muy
que	que	guapa,
hacía	hacía	la
el	el	corría
panadero	panadero	en
~,	~,	los
mu	mu	mozos
guapa	guapa	y
~.	~.	que
La	La	la
corrían	corrían	ganará
los	los	pa'
mozos	mozos
~,	~,
y	y
el	el
que	que
la	la
ganara	ganara
~,	~,
pa	pa
él	él
~.	~.
