estandar	dialectal	whisper
me	me	me
pa-	pa-	parece
~,	~,	que
yo	yo	sí,
~,	~,	por
[OTRAS-EM]	[OTRAS-EM]	lo
me	me	menos
parece	parece	yo
que	que	nosotros
sí	sí	vamos
~,	~,	con
por	por	los
lo	lo	chicos
menos	menos	y
[OTRAS-EM]	[OTRAS-EM]	vamos
yo	yo	a
~,	~,	mí
nosotros	nosotros	que
vamos	vamos	hasta
con	con	un
los	los	poco
chicos	chicos	giloso,
~,	~,	que
y	y	están
vamos	vamos	más
allí	allí	solidos
~,	~,	aquí,
gastan	gastan	y
poco	poco	nada
girasol	girasol	que
~,	~,	os
gastan	gastan	sé.
más	más	Sin
oliva	oliva	embargo,
que	que	nosotros
ninguna	ninguna	no
cosa	cosa	estamos
~.	~.	más,
[HS:E1	[HS:E1	nos
		[Asent]			[Asent]	parece
~.	~.	que
		]			]	estamos
Sin	Sin	también,
embargo	embargo	que
~,	~,	estamos
nosotros	nosotros	más
gastamos	gastamos	de
más	más	ese
y	y	milla
~…	~…	que
~|	~|	derrota.
nos	nos	Pero,
parece	parece	a
que	que	fin,
estamos	estamos	su
tan	tan	ambiente
bien	bien	es
~,	~,	distinto
gastamos	gastamos	al
más	más	nuestro,
de	de	y
semilla	semilla	que
que	que	se
del	del	lló,
otro	otro	en
~.	~.	el
[HS:E1	[HS:E1	que
		[Asent]			[Asent]	yo
~.	~.	nos
		]			]	dice
Pero	Pero	que
en	en	es
fin	fin	mejor
~,	~,	aquello,
ellos	ellos	pero
~…	~…	nosotros
~,	~,	tenemos
[R-Ind]	[R-Ind]	de
su	su	las
ambiente	ambiente	cosas
es	es	efectivas.
~,	~,	Pero
es	es	cuando
distinto	distinto	vienen
al	al	ellos,
nuestro	nuestro	tenemos
y	y	que
~…	~…	ir
qué	qué	a
sé	sé	estar
yo	yo	de
~.	~.	la
Dirán	Dirán	oliva,
que	que	porque
~,	~,	hay
ellos	ellos	algunas
nos	nos	cosas
dicen	dicen	para
que	que	ir
es	es	patataflita
mejor	mejor	y
aquello	aquello	todo
~,	~,	eso
pues	pues	sirve
~…	~…	muy
Pero	Pero	bien
nosotros	nosotros	en
tenemos	tenemos	la
de	de	oliva,
las	las	y
dos	dos	nos
cosas	cosas	parece
efectivamente	efectivamente	que...
~,	~,	que
[HS:E1	[HS:E1	prefieren
		[Asent]			[Asent]	un
~.	~.
		]			]
[Rndo:	[Rndo:
		para			para
cuando	cuando
vienen	vienen
ellos	ellos
ya	ya
tenemos	tenemos
que	que
gastar	gastar
de	de
la	la
oliva	oliva
porque	porque
~…	~…
		]			]
Hombre	Hombre
~,	~,
[CHASQ]	[CHASQ]
en	en
algunas	algunas
cosas	cosas
para	para
pre-	pre-
~,	~,
freír	freír
patata	patata
frita	frita
y	y
todo	todo
eso	eso
sirve	sirve
muy	muy
bien	bien
el	el
oliva	oliva
y	y
nos	nos
parece	parece
que	que
~,	~,
que	que
~…	~…
[HS:E1	[HS:E1
		O			O
sea	sea
que	que
		]			]
Ahora	Ahora
~…	~…
