estandar	dialectal	whisper
Ya	Ya	ya
no	no	no
~…	~…	se
~,	~,	mataba.
ya	ya	La
no	no	matanza
se	se	era
mata	mata	que
~,	~,	se
pues	pues	compraban
la	la	los
matanza	matanza	cerdos,
era	era	pues
que	que	allí
se	se	a
compraban	compraban	primeros
los	los	de
cerdos	cerdos	la
~,	~,	primavera
pues	pues	o
ahí	ahí	quizás
a	a	en
primeros	primeros	el
de	de	invierno
~…	~…	ya
~,	~,	se
de	de	compraba
la	la	el
primavera	primavera	que
~,	~,	se
o	o	iba
quizás	quizás	a
~…	~…	matar
en	en	a
el	el	la
invierno	invierno	daño
ya	ya	de
se	se	los
compraba	compraba	seguidores.
el	el	entonces
que	que	engordaba
se	se	el
iba	iba	cerdo
a	a	en
matar	matar	casa,
al	al	entonces
año	año	engordaba
siguiente	siguiente	con
~,	~,	harina
[HS:E	[HS:E
		Sí			Sí
~.	~.
		]			]
¿~	¿~
sabes	sabes
~?	~?
Entonces	Entonces
se	se
engordaba	engordaba
el	el
cerdo	cerdo
en	en
casa	casa
~,	~,
entonces	entonces
se	se
engordaba	engordaba
con	con
~…	~…
~,	~,
con	con
harina	harina
~,	~,
berzas	berzas
~.	~.
