estandar	dialectal	whisper
Allí	Allí	Aquí
había	había	había
~…	~…	70,
setenta	setenta	80,
~,	~,	60,
ochenta	ochenta	80,
~,	~,	la
sesenta	sesenta	producción
~,	~,	también
ochenta	ochenta	llegó
~,	~,	a
[R-Ind]	[R-Ind]	400
la	la	euros.
~…	~…	En
~,	~,	toda
la	la	base,
promoción	promoción	por
que	que	el
había	había	caro,
allí	allí	ahí
era	era	estaba
de	de	cochera,
cuatrocientos	cuatrocientos	estaba
[A-Inn]	[A-Inn]	incendio,
en	en	estaba
toda	toda	en
la	la	Ría,
base	base	estaba
~,	~,	en
porque	porque	Puglia,
~,	~,	estaba
claro	claro	en
~,	~,	Puglia
allí	allí	de
estaba	estaba	Cozas.
cocheras	cocheras	Otros
~,	~,	estaban
[R-Vcs]	[R-Vcs]	en
estaba	estaba	la
incendio	incendio	Oficina,
~,	~,	donde
esta-	esta-	llegaron,
~,	~,	donde
estaba	estaba	tenía
en	en	su
fin	fin	destino,
~…	~…	y
que	que	por
había	había	el
unas	unas	mañana
pocas	pocas	quedó
de	de	un
cosas	cosas	deporte
~,	~,	de
otros	otros	destino,
estaban	estaban	y
en	en	ahí
~|	~|	eran
eran	eran	parte
~…	~…	de
de	de	la
las	las	Juaria,
oficinas	oficinas	se
~,	~,	eché
allí	allí	la
cada	cada	Juaria
uno	uno	a
tenía	tenía	la
su	su	rogromo,
~…	~…	toda
~,	~,	la
su	su	noche,
destino	destino	el
y	y	detalmo,
por	por	estaba
la	la	relieved
mañana	mañana	ahí,
cada	cada	ahíела
uno	uno	la
iba	iba	escrita,
a	a	luego
su	su	quedaban
destino	destino	tosos,
~.	~.
Otros	Otros
eran	eran
pa	pa
hacer	hacer
las	las
guardias	guardias
~…	~…
[R-Vcs]	[R-Vcs]
[A-Inn]	[A-Inn]
~.	~.
Por	Por
la	la
noche	noche
aquello	aquello
estaba	estaba
[OTRAS-EM]	[OTRAS-EM]
rodeao	rodeao
de	de
~,	~,
de	de
soldados	soldados
de	de
día	día
y	y
de	de
noche	noche
~,	~,
estaban	estaban
las	las
garitas	garitas
rodeando	rodeando
to	to
~,	~,
to	to
el	el
aeródromo	aerodromo
~.	~.
[R-Ind]	[R-Ind]
