estandar	dialectal	whisper
que	que
si	si
tú	tú
no	no
m'has	m'has
dao	dao
esa	esa
carta	carta
~,	~,
¿~	¿~
por	po
qué	qué
no	no
m'has	m'has
dao	dao
esa	esa
carta	carta
~?	~?
En	En
fin	fin
~,	~,
que	que
eso	eso
no	no
~,	~,
no	no
ha	ha
llegado	llegado
~|	~|
las	las
cosas	cosas
no	no
han	han
llegado	llegado
a	a
nada	nada
~.	~.
Y	Y
no	no
aquí	aquí
no	no
se	se
[A-PIn:	[A-PIn:
		forman			forman
peleas	peleas
		]			]
porque	porque
aquí	aquí
se	se
forma	forma
pelea	pelea
y	y
~,	~,
y	y
se	se
cierra	cierra
el	el
centro	centro
~.	~.
