estandar	dialectal	whisper
Ya	Ya	Nosotros
~,	~,	somos
eh	eh	de
~,	~,	antropología,
luego	luego	pero
~…	~…	un
[OTRAS-EM]	[OTRAS-EM]	compañero
Nosotros	Nosotros	de
somos	somos	lenguanos
de	de	han
~…	~…	veido
~,	~,	que
de	de	les
antropología	antropología	haamos
~,	~,	unas
pero	pero	preguntas
unos	unos	y
compañeros	compañeros	es
de	de	si
lengua	lengua	usted
nos	nos	nota
han	han	que
pedido	pedido	en
que	que	este
les	les	pueblo
hagamos	hagamos	se
unas	unas	habla
preguntas	preguntas	diferente
y	y	que
es	es	los
~,	~,	pueblos
eh	eh	de
~,	~,	alrededor.
si	si	Usted
usted	usted	nota
nota	nota	que
que	que	sea
~…	~…	la
En	En	que
este	este	diferente
pueblo	pueblo	que
se	se	los
habla	habla
diferente	diferente
que	que
en	en
los	los
pueblos	pueblos
de	de
alrededor	alrededor
~.	~.
¿~	¿~
Usté	Usté
nota	nota
que	que
se	se
habla	habla
aquí	aquí
diferente	diferente
~,	~,
que	que
en	en
los	los
pueblos	pueblos
que	que
están	están
cerca	cerca
~?	~?
