estandar	dialectal	whisper
[OTRAS-EM]	[OTRAS-EM]	Ahí
Ahí	Ahí	detrás,
detrás	detrás	ahí
~,	~,	detrás,
ahí	ahí	mi,
detrás	detrás	era
~,	~,	un
¿~	¿~	pueblo.
ven	ven	En
~?	~?	el
~,	~,	cruceeste,
era	era	en
un	un	el
pueblo	pueblo	otro
~,	~,	detrás,
en	en	saltando
el	el	para
cruce	cruce	atrás,
este	este	había
no	no	un
~,	~,	pueblo.
en	en	Lo
el	el	dijo
otro	otro	mi
de	de	abuela,
atrás	atrás	había
~,	~,	un
saltando	saltando	pueblo,
pa	pa	pero
atrás	atrás	cuando
~,	~,	reventó
había	había	el
un	un	boca,
pueblito	pueblito	ese
~.	~.	pueblo
Lo	Lo	quedó
dijo	dijo	rasado.
mi	mi	Y
abuela	abuela	entonces
~.	~.	ellos,
Había	Había	cuando
un	un	están
pueblo	pueblo	escarbando
~,	~,	para
pero	pero	plantar
cuando	cuando	parlas
reventó	reventó	y
el	el	haciendo
volcán	volcán	en
~,	~,	el
ese	ese	boca,
pueblo	pueblo	en
quedó	quedó	contra
arrasado	rasao	de
~.	~.	las
Y	Y	hibes,
entonces	entonces	en
~,	~,	contra
ellos	ellos	de
cuando	cuando	las
están	están	hibes,
escarbando	escarbando	en
para	para	contra
plantar	plantar	de
parra	parra	las
y	y	hibes,
haciendo	haciendo	por
~…	~…	ejemplo,
~,	~,	unas
en	en	como
el	el	una
volcán	volcán	tarquilla
~,	~,	del
encuentran	encuentran	pueblo
las	las	que
aljibes	aljibes	se
~,	~,	encerroa.
encuentran	encuentran	Ahí,
~,	~,	cuando
se	se	el
encuentran	encuentran	boca
~,	~,	reventó
por	por	que
ejemplo	ejemplo	vino
~,	~,	toda
una	una	la
~,	~,	vez
como	como	ahí,
una	una	se
barquilla	barquilla	paró
~,	~,	ahí,
de	de	la
aque-	aque-	virgen
~,	~,	de
del	del	olor
pueblo	pueblo	en
que	que	la
se	se	paró
enterró	enterró	y
antes	antes	se
~.	~.	paró
[HS:E3	[HS:E3	porque
		Ah			Ah	había
~.	~.	un
		]			]	pueblo
Allí	Allí	ahí
hubo	hubo	detrás.
~,	~,	Y
hubo	hubo	se
~,	~,	vivía
cuando	cuando	en
el	el	el
volcán	volcán	bocán,
reventó	reventó	se
~,	~,	vivía
que	que	en
vino	vino	Mempicón,
toda	toa	era
la	la	Picón,
lava	lava	pero
esa	esa	después
áhi	áhi	salaba,
~,	~,	tapó
se	se	todo
~,	~,	porque
se	se	reventó
paró	paró	el
ahí	ahí	boca,
la	la	pero
virgen	virgen	no,
de	de	no
