estandar	dialectal	whisper
Yo	Yo	¿No
lo	lo	ha
he	he	visto
visto	visto	en
en	en	la
la	la	tele
tele	tele	en
~,	~,	la
en	en	tele
la	la	de...
tele	tele	Sí
de	de	¿Pedículas?
~…	~…	Pero
~|	~|	como
en	en	aquí
las	las	es
películas	películas	como
~,	~,	hacia...
pero	pero	¿Como
aquí	aquí	ha
~,	~,	visto
¿~	¿~	cuando
cómo	cómo	hay
hacían	hacían	algo
~?	~?	importante
¿~	¿~	en
Cómo	Cómo	el
avisaban	avisaban	pueblo
cuando	cuando	como
había	había
algo	algo
importante	importante
en	en
el	el
pueblo	pueblo
~,	~,
cómo	cómo
avisaban	avisaban
~?	~?
