estandar	dialectal	whisper
Ah	Ah	En
~,	~,	fascinated
el	el	me
cine	cine	quedaba
no	no	grosso
~,	~,	una
el	el	fundión.
cine	cine	massive
era	era	meld
de	de	speak
cuatro	cuatro	que
a	a	introducing
seis	seis	cualquier
una	una	que
~,	~,	lo
una	una	sareba
función	función	mucho,
y	y	no
de	de	lo
seis	seis	sent
a	a	comida
otr-	otr-	por
~,	~,	eso
a	a	ni
ocho	ocho	por
otra	otra	eso
~.	~.	y
Y	Y	lo
aquí	aquí	que
en	en	hm
Boyedo	Boyedo	un
y	y	rato
en	en	de
la	la	casa
había	había	y
en	en	enrieben
Barcena	Barcena	queoggl
 	 	la
 	 	palab
 	 	ratchet
