estandar	dialectal	whisper
Por	Por	porque
carnavales	carnavales	las
eran	eran	valles
sensacionales	sensacionales	eran
[A-Inn]	[A-Inn]	exacionales,
unos	unos	pero
carnavales	carnavales	de
de	de	estos
pero	pero	regionales
de	de	porque
estos	estos	había,
excepcionales	excepcionales	ya,
porque	porque	también
había	había	hacíamos
~…	~…	hasta
~|	~|	todos
hacíamos	hacíamos	sabías,
hasta	hasta	todos
~,	~,	vacas,
hasta	hasta	una
toros	toros	vacilla
había	había	o
~.	~.	del
		vacilla,
Toros	Toros
~,	~,
		]			]
vacas	vacas
~,	~,
una	una
vaquilla	vaquilla
o	o
dos	dos
vaquillas	vaquillas
~…	~…
