estandar	dialectal	whisper
Antes	Antes	Antes
las	las	las
bodas	bodas	bodas
~…	~…	había
~,	~,	más
[OTRAS-EM]	[OTRAS-EM]	que
había	había	ahora,
más	más	porque
que	que	se
ahora	ahora	casaban
porque	porque	a
se	se	las
casaban	casaban	doce.
a	a	Sí.
las	las	Y
doce	doce	luego
~.	~.	había
[HS:E1	[HS:E1	un
		Sí			Sí	refresco
~.	~.	y
		]			]	después
Y	Y	había
luego	luego	baile
había	había	antes
un	un	de
refresco	refresco	comer.
y	y	Y
~,	~,	luego
después	después	ya
~,	~,	comían
había	había	y
baile	baile	luego
antes	antes	había
de	de	baile
comer	comer	otra
~.	~.	vez.
Y	Y	Sí.
luego	luego	Y
ya	ya	después
comían	comían	hay
y	y	algunas
luego	luego	que
había	había	daban
baile	baile	el
otra	otra	chocolate
vez	vez	y
~.	~.	luego
[HS:E1	[HS:E1	había
		Sí			Sí	baile
~.	~.	después
		]			]	de
Y	Y	el
después	después	chocolate.
hay	hay	Y
a-	a-	después
~,	~,	había
algunas	algunas	baile
que	que	antes
daban	daban	de
el	el
chocolate	chocolate
y	y
luego	luego
había	había
baile	baile
después	después
de	de
cenar	cenar
~,	~,
después	después
del	del
chocolate	chocolate
~.	~.
