estandar	dialectal	whisper
Y	Y	y
~,	~,	bueno
bueno	bueno	la
~,	~,	madrilla
la	la	novia
madrina	madrina	y
y	y	de
la	la	otra
novia	novia	por
y	y	otro
la	la	lado
otra	otra	y
por	por	otro
otro	otro	por
lao	lao	otro
y	y	repartiendo
otros	otros	las
por	por	de
otro	otro	la
~,	~,	boda
repartiendo	repartiendo	repartiendo
las	las	los
de	de	aquellos
la	la	trocines
boda	boda	por
~,	~,	la
repartiéndolos	repartiéndolos	gente
~…	~…	ya
aquellos	aquellos	la
trocines	trocines	gente
pa	pa	quedaba
la	la	bien
gente	gente	contenta
~,	~,	porque
la	la	le
gente	gente	daban
quedaba	quedaba	aquellos
bien	bien	trocines
contenta	contenta	del
~,	~,	bollo
porque	porque	le
le	le	pierdié
daban	daban	el
aquellos	aquellos	animation
trocines	trocines	el
del	del	momento
bollo	bollo	allí
que	que	porque
gustaban	gustaban	el
mucho	mucho	minutos
 	 	avait
 	 	précised
 	 	luego
 	 	de
 	 	los
