estandar	dialectal	whisper
Pues	Pues	No,
normal	normal	no
~,	~,	es
también	también	normal
~.	~.	también.
Era	Era	No
~…	~…	es
una	una	normal.
cosa	cosa	Pues
normal	normal	eso
[HS:E1	[HS:E1	como
		Pero			Pero	se
~…	~…	una
		]			]	hora,
el	el	los
baut-	baut-	botizaba
~.	~.	y
Pues	Pues	lo
eso	eso	montaba
~,	~,	hace
como	como	a
~,	~,	día,
como	como	algo.
son	son	Que
ahora	ahora	ahora
~.	~.	los
Que	Que	hacen
los	los	el
bautizabas	bautizabas	restaurante
y	y	si
luego	luego	quieres
en	en
casa	casa
hacías	hacías
algo	algo
~,	~,
que	que
ahora	ahora
los	los
hacen	hacen
en	en
un	un
restaurante	restaurante
~,	~,
te	te
quiero	quiero
decir	decir
~.	~.
