estandar	dialectal	whisper
~¡~	~¡~	Mán,
A	A	no?
mano	mano	Mán,
~!	~!	pero
[HS:E1	[HS:E1	ni
		A			A	a
mano	mano	un
~,	~,	balde.
¿~	¿~	El
pero	pero	hombre
cómo	cómo	sienta
~?	~?	en
		]			]	las
Se	Se	citas
ponía	ponía	esas
un	un	pequeñas,
balde	balde	debajo
~,	~,	de
el	el	la
hombre	hombre	vaca
sentao	sentao	y
en	en	un
una	una	caldero
sillita	sillita	y
de	de	el
esas	esas	río
pequeñas	pequeñas	entrarán
debajo	debajo	reenra,
de	de	más
la	la	acá
vaca	vaca	la
~,	~,	leche,
y	y	que
un	un	a
caldero	caldero	luego
y	y	no.
rinrán	rinrán	Luego
~,	~,	ya
rinrán	rinrán	llegan
[ONOMAT]	[ONOMAT]	las
~,	~,	máquinas,
le	le	que
sacaba	sacaba	eran
la	la	como
leche	leche	unas
~.	~.	ventos,
Ya	Ya	las
luego	luego	que
no	no	asorven
~,	~,	unas
luego	luego	personas
ya	ya	esas
llegaron	llegaron	y
las	las	largas,
máquinas	máquinas	les
~,	~,	metes
que	que	a
eran	eran	la
como	como	vaca
unas	unas	y
ventosas	ventosas	pues
que	que	unas
absorben	absorben	tuberías,
~…	~…	pues
las	las	no
~,	~,	fueron
unas	unas	una
pezoneras	pezoneras	olla
así	así	espre,
largas	largas	es
~,	~,	un
[HS:E1	[HS:E1	cachorro
		[Asent]			[Asent]	grande,
~.	~.	donde
		]			]	iba
las	las	la
metes	metes	leche.
a	a	Y
la	la	lo
vaca	vaca	siento
~,	~,	mucho
y	y	procostado
~…	~…	que
por	por	dejar.
unas	unas	Un
tuberías	tuberías	poquito
~,	~,	más
como	como	de
si	si	los
fuera	fuera	pasos.
una	una	Porque
olla	olla	te
exprés	exprés	lo
~,	~,	mucho,
un	un	que
cacharro	cacharro	atendé,
grande	grande	yo
~,	~,	más.
donde	donde	Big
iba	iba	muño
la	la	más
leche	leche	que
~.	~.	el
Y	Y	bro,
lo	lo	que
siento	siento	está
mucho	mucho	nytendo
~,	~,	y
pero	pero	y
que	que
os	os
tengo	tengo
que	que
dejar	dejar
~,	~,
[HS:E1	[HS:E1
		Un			Un
poquito	poquito
más	más
~,	~,
solo	solo
~.	~.
		]			]
que	que
tengo	tengo
mucho	mucho
que	que
atender	atender
yo	yo
~,	~,
[HS:I1	[HS:I1
		Solo			Solo
un	un
poquillo	poquillo
más	más
~.	~.
		]			]
majos	majos
~.	~.
[HS:E1	[HS:E1
		[A-Inn]			[A-Inn]
~.	~.
		]			]
[A-PIn:	[A-PIn:
		Enseguida			Enseguía
me	me
vienen	vienen
otros	otros
dos	dos
de	de
Vitoria	Vitoria
~.	~.
