estandar	dialectal	whisper
Sí	Sí	si
~,	~,	si
sí	sí	y
~,	~,	hombre
hombre	hombre	buenas
~.	~.	y
Buenas	Buenas	coge
~.	~.	wartochet
[HS:E1	[HS:E1	apartments
		Sí			Sí	que
~.	~.	estr
[RISA]	[RISA]	bien少,
		]			]	de
[A-Inn]	[A-Inn]	torlas
igual	igual	pegas
que	que	y
en	en	de
la	la	campaneles
capital	capital	yüzden
~.	~.	aquí,
Las	Las	aquí
traían	traían	también
de	de
~,	~,
de	de
Torrrelavega	Torrrelavega
o	o
Santander	Santander
~,	~,
las	las
traían	traían
aquí	aquí
~.	~.
Aquí	Aquí
también	también
había	había
cine	cine
~,	~,
eh	eh
~,	~,
en	en
este	este
pueblo	pueblo
~.	~.
