estandar	dialectal	whisper
Mi	Mi	mi
padre	padre	padre
no	no	no
~,	~,	tenía
no	no	mi
ten-	ten-	padre,
~.	~.	hacía
Mi	Mi	mucho
padre	padre	hondo
~…	~…	del
hacía	hacía	kitrán.
muchos	muchos	El
hornos	honos	kitrán
de	de	eso
alquitrán	alquitrán	es
~.	~.	a
Alquitrán	Alquitrán	te,
~,	~,	esos
eso	eso	pinos
esa	esa	que
tea	tea	están
~,	~,	en
esos	esos	la
pinos	pinos	sierra,
que	que	los
están	están	cortan
en	en	y
la	la	eso
sierra	sierra	es
~,	~,	una
los	los	arquitrán
cortan	cortan	y
y	y	eso
eso	eso	los
hecha	hecha	quemaban
una	una	en
~…	~…	un
un	un	hondo,
alquitrán	alquitrán	salía
y	y	el
eso	eso	calbón
los	los	por
quemaban	quemaban	un
en	en	lado
unos	unos	a
hornos	honos	hecho
~,	~,	y
salía	salía	por
el	el	el
carbón	carbón	otro
por	por	lado
un	un	salía
lao	lao	un
hecho	hecho	chor
~,	~,	de
y	y	el
por	por	kitrán,
el	el	espero
otro	otro	cuando
lao	lao	empezaron
salía	salía	a
un	un	a
chorro	chorro	faltar
de	de	la
~…	~…	carretera
de	de	de
alquitrán	alquitrán	las
~.	~.	decidas
Y	Y	amara.
esto	esto	Entonces
era	era	era
cuando	cuando	la
empezaron	empezaron	terrestre,
a	a	cuando
~,	~,	empezaron
a	a	a
~,	~,	la
a	a	chalella,
asfaltar	asfaltá	era
la	la	el
carretera	carretera	kitrán
esa	esa	tomó
de	de	un
~,	~,	hondo
de	de	y
Algeciras	Algeciras	el
a	a	arquitrán
~…	~…	un
a	a	vuelo
Málaga	Málaga	y
~.	~.	todo,
Entonces	Entonces	mucha
to	to	gente
eso	eso	pusieron
era	era	hondo
terriza	terriza	de
~.	~.	arquitrán
Cuando	Cuando	y
empezaron	empezaron	hasta
a	a	traían
echarle	echale	de
ya	ya	la
los	los	sierra,
~,	~,	la
los	los	teyra
~,	~,	esa,
el	el	la
alquitrán	alquitrán	preparaba,
~,	~,	le
entonces	entonces	coñó
tomó	tomó	a
lo	lo	su
~,	~,	hondo
el	el	de
alquitrán	alquitrán	vado
~…	~…	y
bueno	bueno	lo
~,	~,	llevaba
y	y	de
~,	~,	el
y	y	ritmo,
todo	todo	te
~…	~…	ritiendo
mucha	muncha	y
gente	gente	el
pusieron	pusieron	mismo
hornos	honos	tiempo
de	de	se
alquitrán	alquitrán	grataba
~,	~,	el
y	y	calbón,
los	los	pañizaba,
que	que	ya
traían	traían	no
de	de	la
la	la	copa,
sierra	sierra	otra
la	la	vez
tea	tea	se
esa	esa	vó,
~,	~,	no
la	la	me
preparaban	preparaban	seguís
~,	~,	sabrera
le	le	un
ponían	ponían	calbón
su	su	y
horno	hono	leña,
debajo	debajo	me
~,	~,	ha
y	y	guardado
eso	eso	mucha
se	se	ayuda
iba	iba	de
derritiendo	derritiendo	ser
~,	~,	que
derritiendo	derritiendo	la
~,	~,	amiga
y	y	de
al	al	nosotros
mismo	mismo	que
tiempo	tiempo	le
se	se	estaba
gastaba	gastaba	estudiando
el	el	y
carbón	carbón	se
~,	~,	llamó
pa	pa	la
guisar	guisá	otra,
o	o	que
pa	pa	en
echarlo	echalo	Madrid
en	en	se
las	las	está
~…	~…	viendo
copas	copas	unas
~;	~;	cosas
otras	otras	que
veces	veces	hay
pos	pos	que
pa	pa	le
~…	~…	dicen
Lo	Lo	que
que	que	era
se	se	una
guisaba	guisaba	bombona
era	era	grande
con	con	y
carbón	carbón	se
y	y	hizo
leña	leña	con
~.	~.	un
[R-Ind]	[R-Ind]	misto
No	No	serete,
había	había	yo
ni	ni	soy
gas	gas	como
~,	~,	aceso,
ni	ni	lo
~…	~…	que
M'acuerdo	M'acuerdo	me
de	de	teníamos
un	un	nevera,
muchacho	muchacho	porque
que	que	la
decía	decía	algó,
~…	~…	ya
que	que	no
era	era	por
amigo	amigo	la
de	de	dárdena,
nosotros	nosotros	ya
y	y	no
él	él	si
estaba	estaba	iba
estudiando	estudiando	creciendo
~,	~,	había
y	y	la
dice	dice	dos
~:	~:	de
«~	«~	bombillas
Mira	Mira	que
~,	~,	había
ahora	ahora	en
están	están	la
en	en	calle
Madrid	Madrí	y
~,	~,	la
están	están	que
~|	~|	teníamos
se	se	en
está	está	la
viendo	viendo	casa,
unas	unas	no
cosas	cosas	sé,
que	que	no
hay	hay	había,
~,	~,	no
que	que	había
le	le	ningún,
dicen	dicen	ni
gas	gas	tenía
~,	~,	nevera,
[RISA]	[RISA]	porque
que	que	es
es	es	que
una	una	ni
~,	~,	la
una	una	hacía,
bombona	bombona	un
grande	grande	de
~,	~,	llambadrillo
y	y	para
~,	~,	ella,
y	y	que
se	se	yo
guisa	guisa	soy
con	con	que
~…	~…	estoy
~»	~»	por
~,	~,	la
y	y	silla,
dice	dice	ni
~:	~:	nevera,
«~	«~	ni
Con	Con	al
un	un	radio,
esto	esto	la
~,	~,	televisión
se	se	cuando
le	le	vino
da	da	un
~»	~»	abogó
~.	~.	y
Y	Y	eso
nosotros	nosotros	la
~:	~:	ínte,
«~	«~	la
¿~	¿~	vela,
Cómo	Cómo	mi
va	va	alto
a	a	en
ser	sé	la
eso	eso	televisión
~?	~?	allí,
~»	~»	que
~.	~.	yo
Y	Y	era
~,	~,	para
mira	mira	lo
lo	lo	que
~,	~,	se
lo	lo	vea
~,	~,	la
lo	lo	corría
~,	~,	de
lo	lo	todo,
que	que	eso
va	va	era
después	después	el
~.	~.	amor,
Ni	Ni	yo
teníamos	teníamos	que
nevera	nevera	es
~,	~,	un
hija	hija	tundo
~,	~,	tan
porque	porque	grande,
la	la	y
luz	luz	a
~,	~,	ver
la	la	conocido
luz	luz	es,
la	la	y
echaban	echaban	a
por	por	ver
la	la	conocido
tarde	tarde	era
na	na	al
más	más	real,
~,	~,	no
cuando	cuando	puedo
ya	ya	tanta
no	no	cosa
~…	~…	que
se	se	sale
iba	iba	en
oscureciendo	oscureciendo	la
~.	~.	moderna
Había	Había	y
las	las	la
dos	dos	tanta
o	o	cosa
tres	tres	que
bombillas	bombillas	hace,
que	que	me
había	había	da
en	en	este
la	la	de
calle	calle	eso
~,	~,	sentí,
y	y	no
las	las	sabe
~,	~,	nada,
y	y	yo
las	las	y
que	que	sabe
teníamos	teníamos	yo
en	en	tenía
la	la	tu
casa	casa	vida
~.	~.	así,
No	No	cocinera,
sé	sé	el
~,	~,	sentido
no	no	de
había	había	que
~…	~…	yo
de	de	era
día	día	una
no	no	fonda
había	había	que
luz	luz	era
ninguna	ninguna	la
~.	~.	pensión
Ni	Ni	y
tenías	tenías	te
nevera	nevera	amamos
~,	~,	marcar
porque	porque	y
es	es	parando,
que	que	con
~,	~,	esto
es	es	se
que	que	me
ni	ni	había
las	las	todavía
hacían	hacían	ni
~…	~…	lo
Bueno	Bueno	junto
~,	~,	con
ya	ya	teniendo,
en	en	porque
Madrid	Madrid	tenía
o	o	casa,
por	por	yo
ahí	ahí	vivía
~,	~,	en
ya	ya	el
sí	sí	mar
~,	~,	y
pero	pero	vivía
nosotros	nosotros	en
que	que	la
~,	~,	pensión,
estos	estos	y
pueblecillos	pueblecillos	la
~,	~,	marche
ni	ni	y
nevera	nevera	la
~,	~,	maestra,
ni	ni	y
arradio	arradio	el
~…	~…	médico
La	La	también,
televisión	televisión	no
cuando	cuando	tenía
vino	vino	casa,
~,	~,	y
vino	vino	de
una	una	noche
o	o	lo
dos	dos	pasado
y	y	yo
eso	eso	me
la	la	hubiera
gente	gente	jugando
~…	~…	las
a	a	cartas,
verla	vela	yo
~:	~:	jugando
«~	«~	a
Ay	Ay	los
~,	~,	juegos
mira	mira	y
~,	~,	ya
han	han	empezaron
traío	traío	a
una	una	hacer
televisión	televisión	las
allí	allí	casas
~»	~»	de
~,	~,	los
y	y	maestros,
aquello	aquello	y
era	era	me
pa	pa	da,
cuando	cuando	pero
se	se	a
vían	vían	mí
las	las	ahora
corridas	corridas	la
de	de	cosa,
toros	toros	pero
~.	~.	muchos
Eso	Eso	gente
era	era	había
~,	~,	en
vamos	vamos	el
~,	~,	pueblo,
oh	oh	yo
~.	~.	tengo
Por	Por	que
eso	eso	saber
digo	digo	las
yo	yo	casillas
~,	~,	con
que	que	una
es	es	ventana
como	como	que
un	un	parece
tumbo	tumbo	ratonera,
tan	tan	porque
grande	grande	no
[HS:E1	[HS:E1	había
		Claro			Claro	espacio
~.	~.	para
		]			]	el
de	de	sonar
haber	habé	en
conocío	conocío	la
eso	eso	ventana,
~,	~,	además
y	y	que
haber	habé	era
cono-	cono-	un
~,	~,	juego
y	y	de
conocer	conocé	ciencia,
ahora	ara	para
lo	lo	que
que	que	el
hay	hay	traerá
~.	~.	y
No	No	luego
puedo	puedo	para
~…	~…	la
tanta	tanta	ventana,
cosa	cosa	ahí
que	que	por
sale	sale	ahí,
~,	~,	por
tan	tan	la
moderna	modena	casa,
~,	~,	pero
y	y	a
tantas	tantas	la
cosas	cosas	casa,
que	que	todavía
hacen	hacen	no
~.	~.	era
Y	Y	una
nosotros	nosotros	casa
de	de	que
eso	eso	vivía,
sin	sin	porque
~…	~…	yo
[RISA]	[RISA]	no
Y	Y	la
nosotros	nosotros	vi
no	no	en
~,	~,	la
no	no	gente
sabemos	sabemos	que
na	na	vivía,
~.	~.	que
Yo	Yo	ella
~,	~,	no
guisar	guisá	vivía
~,	~,	tan,
que	que	de
yo	yo	persona
he	he	en
tenío	tenío	una
toa	toa	casa,
mi	mi	mira,
vida	vía	cuatro
he	he	en
sío	sío	la
~…	~…	casa,
cocinera	cocinera	no
~,	~,	le
en	en	venía
el	el	una
sentío	sentío	cama
de	de	de
que	que	esas
cogí	cogí	estos
una	una	catros
~,	~,	que
una	una	le
fonda	fonda	hacían
aquí	aquí	que
~,	~,	tenían
la	la	las
pensión	pensión	vobras
~,	~,	que
y	y	se
estaban	estaban	había
los	los	que
maestros	maestros	fregarlas
allí	allí	para
parando	parando	que
