estandar	dialectal	whisper
Sí	Sí	Sí,
~,	~,	pero
pero	pero	mire,
mire	mire	esto
~…	~…	es
esto	esto	toda
~…	~…	la
esto	esto	pesca.
de	de	Yo
la	la	ahora
pesca	pesca	muchas
~,	~,	veces
yo	yo	la
ahora	ahora	gente
~,	~,	es
muchas	muchas	joven
veces	veces	que
la	la	nunca
gente	gente	he
joven	joven	criado
~,	~,	animales.
que	que	Yo
nunca	nunca	digo,
ha	ha	los
criado	criado	crían
animales	animales	porque
~,	~,	hoy
yo	yo	en
digo	digo	la
~:	~:	si
«~	«~	que
Los	Los	se
crían	crían	crían,
porque	porque	pero
oyen	oyen	no
decir	decir	saben
que	que	nada
se	se	sobre
crían	crían	eso
pero	pero	ni
no	no	hacen
saben	saben	por
nada	nada	saber.
sobre	sobre	Bueno,
~,	~,	mi
de	de	no
eso	eso	es
ni	ni	paso
hacen	hacen	igual,
por	por	o
saber	saber	no
~»	~»	es
~.	~.	suunto
Bueno	Bueno	la
~,	~,	pesca.
a	a	Y
mí	mí	fui
me	me	a
pasó	pasó	pecar
igual	igual	porque
con	con	el
asunto	asunto	día
la	la	de
pesca	pesca	dosis
~.	~.	que
Yo	Yo	se
fui	fui	pescaba,
ido	ido	entonces
a	a	yo
pescar	pescar	una
porque	porque	vez
bía	bía	iba
oído	oído	a
decir	decir	los
que	que	players,
se	se	a
pescaba	pescaba	destal
~,	~,	para
entonces	entonces	la
yo	yo	verdad,
una	una	de
vez	vez	fin.
iba	iba	Y
~…	~…	va
al	al	a
~,	~,	poder
a	a	morfigos
las	las	y
playas	playas	un
~,	~,	primo
donde	onde	de
está	está	mi
el	el	mujer
parador	parador	que
de	de	por
turismo	turismo	cierto,
~,	~,	el
iba	iba	vida
a	a	en
coger	coger	Prontera,
unos	unos	hoy
higos	higos	es
~,	~,	tuve
y	y	aquí.
un	un	Y
primo	primo	me
de	de	dijo,
mi	mi	le
mujer	mujer	va
~,	~,	la
que	que	carne
por	por	de
cierto	cierto	tu
~,	~,	afuero
él	él	que
vive	vive	voy
en	en	de
Frontera	Frontera	rechavajo
~,	~,	para
hoy	hoy	pecar.
estuvo	estuvo	Hay
aquí	aquí	un
~,	~,	tipo
y	y	de
me	me	pesca,
dijo	dijo	se
~:	~:	le
«~	«~	llama
Lleva	Lleva	al
la	la	porcínio,
caña	caña	que
de	de	se
tu	tu	pesca
suegro	suegro	de
~,	~,	noche.
que	que	Dice,
voy	voy	vamos
derecho	derecho	pa'
abajo	abajo	yo
pa	pa	y
~…	~…	de
pa	pa	rechavajo
ir	ir	pa'
a	a	ir
pescar	pescar	a
~»	~»	pecar,
~.	~.	un
Hay	Hay	trínio.
un	un	Pero
~,	~,	hay
hay	hay	que
un	un	buscar
tipo	tipo	la
de	de	carnada
~,	~,	para
de	de	pecarlos,
pez	pez	se
~,	~,	le
se	se	ponos
le	le	otro
llama	llama	pedazo
alfonsiño	alfonsiño	de
~,	~,	la
que	que	carnada
se	se	de
pesca	pesca	los
de	de	demás
noche	noche	pescos
~.	~.	y
Dice	Dice	incluso
~:	~:	de
«~	«~	ellos
Vamos	Vamos	mismos,
pa	pa	ellos
~,	~,	con
yo	yo	ellos
voy	voy	mismos.
derecho	derecho	Y
abajo	abajo	bueno,
~,	~,	yo
pa	pa	me
ir	ir	fui
a	a	y
pescar	pescar	él
alfonsiño	alfonsiño	se
~»	~»	equivocó
~,	~,	en
pero	pero	la
hay	hay	hora
que	que	de
buscar	buscar	ir
la	la	y
carnada	carnada	estar
para	para	bien.
pescarlos	pescalos	Mi
~.	~.	mujer,
Se	Se	el
le	le	padre
pone	pone	pescó
otro	otro	bastante,
pes-	pes-	se
~,	~,	pescaba,
otros	otros	tenia
pedazos	pedazos	basto
~,	~,	un
una	una	barquito.
carnada	carnada	Mi
de	de	mujer
los	los	del
demás	demás	mar
peces	peces	conocía
~,	~,	algo,
y	y	yo
incluso	incluso	no
de	de	conocía
ellos	ellos	nada,
mismos	mismos	yo
~.	~.	no
Ellos	Ellos	lo
comen	comen	había
de	de	visto
ellos	ellos	de
mismos	mismos	lejos.
~.	~.	Y
Y	Y	acá
~,	~,	el
bueno	bueno	día
~,	~,	de
yo	yo	que
me	me	se
fui	fui	coge
y	y	un
él	él	novichisto
~…	~…	que
se	se	hay
equivocó	equivocó	en
en	en	un
la	la	escondredito,
hora	hora	se
de	de	le
ir	ir	llama
~,	~,	araña,
y	y	que
tardó	tardó	en
en	en	la
ir	ir	playa,
~.	~.	de
Mi	Mi	las
mujer	mujer	olas
~,	~,	pierras,
el	el	para
padre	padre	pescar
pescó	pescó	sobre
bastante	bastante	todo
~.	~.	vieja.
Sí	Sí	Y
pescaba	pescaba	ella
~,	~,	llegó
tenían	tenían	y
hasta	hasta	me
un	un	dijo,
barquito	barquito	mira,
~.	~.	por
Y	Y	ahí
mi	mi	para
mujer	mujer	abajo
~,	~,	mi
del	del	padre
mar	mar	se
conocía	conocía	metía
algo	algo	a
~;	~;	coger
yo	yo	la
no	no	araña
conocía	conocía	para
nada	nada	pescar.
~,	~,	Y
yo	yo	entre
el	el	también,
mar	mar	día
lo	lo	araña,
había	había	a
visto	visto	mantornos,
de	de	pero
lejos	lejos	no
~.	~.	podía
Y	Y	una.
aquel	aquel	Al
día	día	fin,
llegué	llegué	eso
~,	~,	se
se	se	le
cogen	cogen	da
unos	unos	volta
~…	~…	a
unos	unos	la
bichitos	bichitos	pieza
que	que	que
hay	hay	yo
en	en	está
los	los	trabajando
cangrejitos	cangrejitos	a
~,	~,	pieza,
se	se	la
le	le	volta
llama	llama	a
araña	araña	la
~,	~,	pieza,
que	que	se
hain	hain	agunta
en	en	a
la	la	los
playa	playa	manos
~,	~,	y
de	de	la
debajo	debajo	caiga
las	las	de
piedras	piedras	ti.
~,	~,	Y
para	para	hace
pescar	pescar	que
~,	~,	acoger,
sobre	sobre	bueno,
todo	todo	cojí
viejas	viejas	como
~,	~,	no
y	y	se
ella	ella	me
llegó	llegó	olvidado
y	y	como
me	me	una
dijo	dijo	doce
~,	~,	araña.
dice	dice	Ayer
~:	~:	me
«~	«~	hice
Mira	Mira	mi
~,	~,	mujer
por	por	por
ahí	ahí	aquí,
pa	pa	suría
abajo	abajo	pescar
mi	mi	mi
padre	padre	padre.
se	se	Yo
metía	metía	estaba
a	a	un
coger	coger	hijo
la	la	y
araña	araña	estuvo
pa	pa	estresivos,
pescar	pescar	pero
~»	~»	el
~,	~,	más
y	y	viejo
yo	yo	murió.
entré	entré	Yo
~,	~,	cuando
también	también	tenía
~.	~.	40.
Vi	Vi	Y
araña	araña	tengo
a	a	un
montones	montones	hijo
pero	pero	que
no	no	tiene
cogía	cogía	una
una	una	50,
~.	~.	más
Al	Al	con
fin	fin	preso
~,	~,	en
que	que	57
eso	eso	años.
se	se	No,
le	le	más
da	da	con
vuelta	vuelta	preso
a	a	en
la	la	58,
piedra	piedra	diciembre.
~,	~,	Yo
que	que	le
están	están	llevo
debajo	debajo	30.
la	la	Y
piedra	piedra	me
~,	~,	han
se	se	ocido,
da	da	era
vuelta	vuelta	pequeño,
la	la	cuando
piedra	piedra	yo
~,	~,	pedí
se	se	al
juntan	ajuntan	mar.
las	las	Y
manos	manos	llegó
y	y	y
la	la	no
que	que	tu
venga	venga	que
aquí	aquí	algo
~.	~.	estaba
Y	Y	hablando
acerté	acerté	por
a	a	la
coger	coger	caña.
~…	~…	Y
bueno	bueno	cojí
~,	~,	una
cogí	cogí	vieja
como	como	y
~,	~,	pla,
no	no	la
se	se	vieja
me	me	chiquita,
ha	ha	la
olvidado	olvidado	vieja
~,	~,	para
como	como	que
unas	unas	dita.
doce	doce	Yo
arañas	arañas	digo
~.	~.	nunca
Allego	Allego	se
~,	~,	me
me	me	olvidaba
dice	dice	con
mi	mi	coger
mujer	mujer	mi
~:	~:	hijo
«~	«~	se
Por	Por	llamó.
aquí	aquí	Digo,
solía	solía	pues
pescar	pescar	una
mi	mi	vieja,
padre	padre	después
~»	~»	cojí
~.	~.	otro
Yo	Yo	pedícto
tengo	tengo	ahí
un	un	y
hijo	hijo	llegó
~,	~,	después
yo	yo	el
tuve	tuve	primo
tres	tres	de
hijos	hijos	mi
~,	~,	mujer.
pero	pero	Cuando
~…	~…	me
el	el	equivocaron
más	más	la
viejo	viejo	marea,
murió	murió	la
~,	~,	baja
murió	murió	mar,
cuando	cuando	creí
tenía	tenía	que
cuarenta	cuarenta	era
años	años	más
~.	~.	tarde
[HS:E3	[HS:E3	y
		Vaya			Vaya	tal.
~.	~.	Y
		]			]	en
[TOS]	[TOS]	Paco
Y	Y	Jertur,
~…	~…	una
y	y	oláña
tengo	tengo	es
~,	~,	Paco
tengo	tengo	Jertur.
un	un	Yo
hijo	hijo	cojí,
que	que	estoy
tiene	tiene	aquí,
cincuenta	cincuenta	un
~,	~,	avietito
va	va	y
a	a	peito,
cumplir	cumplir	otro
cincuenta_y_siete	cincuenta_y_siete	pedícto,
años	años	pequeño.
~.	~.	Dice
No	No	el
~,	~,	disno,
va	va	ya
a	a	tenemos
cumplir	cumplir	carnada
cincuenta_y_ocho	cincuenta_y_ocho	con
~,	~,	él
en	en	y
diciembre	diciembre	que
~.	~.	yo.
Yo	Yo	Pero
le	le	mira,
llevo	llevo	ahora
treinta	trenta	al
~.	~.	mar
Y	Y	se
~…	~…	puso
y	y	un
había	bía	mal
nacido	nacido	malo
~,	~,	que
era	era	vimos
el	el	que
pequeño	pequeño	se
~,	~,	ha
cuando	cuando	ido
eso	eso	allí.
~,	~,	Estamos
cuando	cuando	allí
yo	yo	en
empecé	empecé	un
ir	ir	rancho,
al	al	pierna
mar	mar	a
~,	~,	Puga.
y	y	Y
llego	llego	nos
~,	~,	quedamos
y	y	él,
noto	noto	mi
que	que	mujer
algo	algo	y
estaba	estaba	yo,
jalando	jalando	en
por	por	las
la	la	penas
caña	caña	a
~,	~,	mi
y	y	que
cogí	cogí	era
una	una	para
viejita	viejita	para
~,	~,	para
una	una	que
viejita	viejita	una
así	así	olá
chiquita	chiquita	nos
~,	~,	levantaran,
una	una	pero
viejica	viejica	yo
pequeñita	pequeñita	puse
~,	~,	la
entonces	tonces	laguamera.
yo	yo	Y
~,	~,	ya.
nunca	nunca	Bueno,
se	se	ya
me	me	después
ha	ha	me
olvidao	olvidao	entró
~,	~,	como,
con-	con-	me
~,	~,	voy
cogí	cogí	bien
~,	~,	con
mi	mi	él,
hijo	hijo	después
se	se	me
llama	llama	voy
		otro
Anonimizado	Anonimizado	día
		me
~,	~,	llegó.
digo	digo	Vamos
~:	~:	por
«~	«~	mar
Cogí	Cogí	y
una	una	tal,
vieja	vieja	yo
pa	pa	me
		voy
Anonimizado	Anonimizado	bien
		por
~»	~»	darle
~.	~.	compáne,
Bueno	Bueno	que
~,	~,	si
después	después	yo,
cogí	cogí	pero
otro	otro	pues
pecito	pecito	me
allí	allí	entró
y	y	fiebre
allegó	allegó	por
después	después	ir.
el	el	Me
primo	primo	gustaba
de	de	aspeir
~…	~…	y
de	de	con
mi	mi	todo
mujer	mujer	que
~:	~:	yo
«~	«~	ni
Coño	Coño	entonces
~,	~,	ni
que	que	nunca
me	me	quería
equivoqué	equivoqué	abandonar
~,	~,	ni
la	la	sus
marea	marea	obligaciones
~,	~,	por
la	la	ir
~…	~…	por
baja	baja	mar,
mar.	mar.	pero
Creí	Creí	iba.
que	que	Bueno,
era	era	estuve
más	más	de
tarde	tarde	todo,
~»	~»	estuve
~,	~,	en
y	y	día
tal	tal	buenos,
~,	~,	día
y	y	malos,
pa	pa	porque
coger	coger	yo
[OTRAS-EM]	[OTRAS-EM]	le
unas	unas	voy
arañas	arañas	a
pa	pa	decir
coger	coger	amariantes
~,	~,	que
digo	digo	vian.
~:	~:	Entonces,
«~	«~	al
Mira	Mira	mar
~,	~,	ya
yo	yo	le
cogí	cogí	pondio
esto	esto	fui
aquí	aquí	y
~:	~:	siendo
una	una	lo
viejita	viejita	que
y	y	no
~…	~…	yo,
un	un	cualquiera
pecito	pecito	muy
~,	~,	va
otro	otro	a
pecito	pecito	palmar
pequeño	pequeño	por
~»	~»	necesidad.
~.	~.	Era
Dice	Dice	por,
él	él	por
~,	~,	que
dice	dice	era
~:	~:	un,
«~	«~	creo,
No	No	una
~,	~,	satisfacción,
ya	ya	el
tenemos	tenemos	pasar
carnada	carnada	un
con	con	día
eso	eso	de
~»	~»	esta
y	y	manera.
qué	qué	Y
sé	sé	pero
yo	yo	en
~.	~.	alguna
Pero	Pero	ser
miren	miren	poco
~,	~,	la
empeora	empeora	gente
el	el	va
mar	mar	al
~,	~,	mar,
se	se	por
puso	puso	obligación.
un	un	Si
mar	mar	estrellaba
malo	malo	un
~,	~,	pescadito,
que	que	traía
~…	~…	un
tuvimos	tuvimos	marico,
que	que	hacían
salir	salir	una
de	de	sopa,
allí	allí	era
~;	~;	algo
estamos	estamos	que
allí	allí	se
en	en	aportan
un	un	casa.
rancho	rancho	Ya
al	al	cuando
pie	pie	yo
de	de	fuiste,
una	una	nadie
fuga	fuga	estaba
~,	~,	en
y	y	esa
nos	los	situación,
quedamos	quedamos	en
él	él	la
~,	~,	necesidad
mi	mi	de
mujer	mujer	ir
y	y	al
yo	yo	mar,
~,	~,	por
[A-Inn]	[A-Inn]	decir,
una	una	por
ola	ola	traer
nos	los	un
en	en	quilo
peso	peso	de
y	y	cádunir.
nos	nos	Pero
pusiera	pusiera	yo
en	en	fui,
La_Gomera	La_Gomera	pube
~.	~.	de
[HS:E	[HS:E	todo,
		[RISAS]			[RISAS]	que
		]			]	yo
[HS:E3	[HS:E3	lo
		Vaya			Vaya	vi
~.	~.	a
		]			]	que
Y	Y	si
~…	~…	la
bueno	bueno	gente
~,	~,	que
y	y	le
ya	ya	anís
después	después	de
~,	~,	no
me	me	ser
entró	entró	relacionado,
como	como	no
~…	~…	cogió,
más	más	no
bien	bien	me
con	con	acuerdo,
él	él	no
~,	~,	me
después	después	acuerdo,
otro	otro	no
día	día	me
me	me	acuerdo,
dijo	dijo	nunca
él	él	me
~:	~:	pasó,
«~	«~	es
Vamos	Vamos	cuerpo,
pa'l	pa'l	así.
mar	mar	Pero
~»	~»	también
y	y	una
tal	tal	vez
~,	~,	estuvo
yo	yo	claro,
más	más	cuando
bien	bien	yo
por	por	era
~…	~…	un
darle	dale	pescadito,
compaña	compaña	ya
y	y	con
qué	qué	años
sé	sé	ya
yo	yo	de
~,	~,	edad,
pero	pero	después
después	después	yo
ya	ya	no
me	me	dejaba
entró	entró	eso
fiebre	fiebre	en
por	por	mi
ir	ir	cosa
~,	~,	por
me	me	ir.
gustaba	gustaba	Y
de	de	a
ir	ir	nuestro
~,	~,	tanto
y	y	me
~…	~…	puse
con	con	viejo
todo	todo	y
que	que	ya
yo	yo	nos
