estandar	dialectal	whisper
antiguamente	antiguamente	que
aquello	aquello	antes
era	era	que
de	de	yo
cuatro	cuatro	era
ricos	ricos	de
~,	~,	cuatro
nada	nada	ricos
más	más	nada
~,	~,	más,
un	un	un
par	par	par
de	de	de
ricos	ricos	ricos,
~,	~,	eso
eso	eso	tenía
~…	~…	todo
tenían	tenían	de
todo	todo	abajo
~,	~,	del
desde	desde	Puerto
abajo	abajo	La
~,	~,	Gruga,
desde	desde	arriba
el	el	a
Puerto_la_Cruz	Puerto_la_Cruz	Montico,
a	a	suera
~…	~…	todo
~,	~,	eso
a	a	de
arriba	arriba	cuatro
al	al	ricos
monte	monte	y
~,	~,	ahí
eso	eso	no
era	era	había
todo	todo	nada
de	de	más
ellos	ellos	que
~,	~,	mediano,
de	de	y
los	los	las
cuatro	cuatro	casas
ricos	ricos	eran
~.	~.	pajales,
Y	Y	antes
ahí	ahí	que
no	no	no
había	había	eran
nada	na	casas
más	más	de
que	que	ellas
medianeros	medianeros	como
~.	~.	el
Y	Y	día
las	las	de
casas	casas	hoy
eran	eran	sino
pajales	pajales	de
~,	~,	parables
antiguamente	antiguamente	que
no	no	son
eran	eran
~,	~,
no	no
eran	eran
casas	casas
de	de
~…	~…
hechas	hechas
como	como
estas	estas
hoy	hoy
~,	~,
sino	sino
de	de
~,	~,
de	de
pajales	pajales
~,	~,
que	que
se	se
los	los
hacía	hacía
~…	~…
[HS:I1	[HS:I1
		Los			Los
ricos	ricos
		]			]
