estandar	dialectal	whisper
¿~	¿~	antes
Y	Y	las
tenían	tenían	chicas
~…	~…	como
~?	~?	les
Antes	Antes	preparaban
las	las	el
~,	~,	ajoar
las	las	para
chicas	chicas	la
jóvenes	jóvenes	moda
~,	~,	y
[OTRAS-EM]	[OTRAS-EM]	todo
¿~	¿~	eso
iban	iban	antes
~,	~,	y
[OTRAS-EM]	[OTRAS-EM]	luego
preparaban	preparaban	se
el	el	enseñaba
ajuar	ajuar	como
para	para	era
la	la
boda	boda
y	y
~,	~,
y	y
todo	todo
eso	eso
antes	antes
~,	~,
y	y
lo	lo
~,	~,
[OTRAS-EM]	[OTRAS-EM]
[HS:I1	[HS:I1
		Sí			Sí
~.	~.
		]			]
lo	lo
enseñaban	enseñaban
~?	~?
¿~	¿~
Cómo	Cómo
~,	~,
cómo	cómo
era	era
eso	eso
~?	~?
