estandar	dialectal	whisper
Claro	Claro	Claro,
~.	~.	y
Y	Y	yo
yo	yo	me
me	me	marché
marché	marché	en
en	en	casa
casa	casa	en
mis	mis	mis
padres	padres	padres
~,	~,	a
a	a	la
~,	~,	luz,
a	a	como
dar	dar	ya
a	a	me
luz	luz	quedé
~,	~,	sola,
como	como	me
ya	ya	quedé
me	me	en
quedé	quedé	la
sola	sola	luz
~,	~,	en
pues	pues	mi
~…	~…	casa
Me	Me	en
quedé	quedé	mi
~…	~…	padre,
[A-Inn]	[A-Inn]	es
casa	casa	allí
de	de	de
mis	mis	alud
padres	padres	y
~,	~,	allí
allí	allí	se
di	di	crió
a	a	a
luz	luz	la
~,	~,	niña.
y	y	Y
allí	allí	al
se	se	dos
crio	crio	años
la	la	tenía
niña	niña	la
~,	~,	niña
y	y	dos
a	a	años
los	los	cuando
dos	dos	vino.
años	años	Cuando
~,	~,	vino,
tenía	tenía	¿ver?
la	la	¿Pero
niña	niña	se
dos	dos
años	años
cuando	cuando
vino	vino
~,	~,
cuando	cuando
vino	vino
él	él
~.	~.
[HS:I2	[HS:I2
		Pero			Pero
a	a
los	los
ocho	ocho
		]			]
Que	Que
~,	~,
[A-Inn]	[A-Inn]
~.	~.
