estandar	dialectal	whisper
nada	nada	Lo
~.	~.	fieldó.
Al	Al	La
novio	novio	gente
nada	nada	col
~,	~,	Subió
el	el	havia
novio	novio	más
viéndolo	viéndolo	ábitas
~.	~.	de
[HS:E2	[HS:E2	ol
		~¡~			~¡~	irán,
Vaya	Vaya	resultación
hombre	hombre	lobster
~!	~!	para
		]			]	la
Te	Te	pasadena
cogían	cogían	del
dos	dos	understanding,
chicos	chicos	la
jóvenes	jóvenes	de
y	y	la
hala	hala	bisher거를
~,	~,	de
a	a	bielo.
correr	correr	Los
por	por	jugados
todo	todo	llevили
~,	~,	ante
arriba	arriba	la
y	y	hinduYUMAN,
abajo	abajo	cont長ó
~.	~.	unas
Bueno	Bueno	bajas
~,	~,	creando
e-	e-	por
~,	~,	incon
era	era	viable
una	una	a
tradición	tradición	la
~.	~.	ver<|nn|><|translate|>
Se	Se	con
ha	ha	el
quitao	quitao	camino
eso	eso	aquí.致
ya	ya	es
 	 	la
 	 	kadron
 	 	de
 	 	morta
 	 	sub
 	 	néال
 	 	contra
 	 	los
 	 	enteroacfor
 	 	concernedos...
