estandar	dialectal	whisper
[OTRAS-EM]	[OTRAS-EM]	que
Cade	Cade	se
~|	~|	iban
cada	cada	de
casa	casa	aquí
tenía	tenía	y
su	su	van
campos	campos	a
~.	~.	Cortalón,
Y	Y	no
si	si	se
tenían	tenían	va
poco	poco	a
~,	~,	dar
cuando	cuando	y
terminaban	terminaban	yo
de	de	al
~,	~,	aero
de	de	donde
~,	~,	sea,
de	de	la
~,	~,	capital
de	de	y
hacer	hacer	le
su	su	tenían
campo	campo	trabajo.
~,	~,	F
[HS:E1	[HS:E1
		[Asent]			[Asent]
~.	~.
		]			]
iban	iban
a	a
jornal	jornal
por	por
otros	otros
que	que
tenían	tenían
más	más
~.	~.
