estandar	dialectal	whisper
¿~	¿~	¿Tai
Y	Y	al
le	le	baro?
gusta	gusta	¿Me
ir	ir	tengo?
al	al	¿A
bar	bar	amigos
o	o	o
~…	~…	no?
[HS:I1	[HS:I1	Sí,
		Me			Me	yo
entretengo	entretengo	voy
~.	~.	a
		]			]	alvar
con	con	una
los	los	vez
amigos	amigos	con
o	o	lo
no	no	amigo.
 	 	Me
 	 	tomo
 	 	una
 	 	cerveja
 	 	sin
 	 	narco.
 	 	Yo
 	 	me
 	 	he
 	 	bocó
 	 	narco
 	 	también,
 	 	pero
 	 	yo
 	 	no
 	 	estoy
 	 	arcolyzada.
 	 	Yo
 	 	me
 	 	tomo
 	 	una
 	 	cervecita,
 	 	cuando
 	 	me
 	 	parece,
 	 	ahora
 	 	me
 	 	la
 	 	tomo
 	 	sin
 	 	narco.
 	 	Era
 	 	un
 	 	día
 	 	digo,
 	 	¿oy
 	 	es
 	 	para
 	 	mí?
 	 	Me
 	 	le
 	 	vio
 	 	tomar
 	 	con
 	 	narco.
 	 	Me
 	 	he
 	 	agento
 	 	yo.
 	 	Pero
 	 	con
 	 	lo
 	 	amigo
 	 	hablo
 	 	y...�
 	 	Comme
 	 	tragedy,
 	 	mo
 	 	rey
 	 	mo
 	 	y
 	 	contamos
 	 	los
 	 	histor
 	 	Alertas.
 	 	Solo
 	 	yo
 	 	lo
 	 	tofu
 	 	yo.
